Recieved: R_MIN=07, G_MIN=00, B_MIN=00, A_MIN=0b

Expected: R_MIN=0a, G_MIN=04, B_MIN=06, A_MIN=0c
Recieved: R_MIN=0a, G_MIN=04, B_MIN=06, A_MIN=0c

Expected: R_MIN=07, G_MIN=0b, B_MIN=15, A_MIN=07
Recieved: R_MIN=07, G_MIN=0b, B_MIN=15, A_MIN=07

Expected: R_MIN=0c, G_MIN=06, B_MIN=0c, A_MIN=0f
Recieved: R_MIN=0c, G_MIN=06, B_MIN=0c, A_MIN=0f

Expected: R_MIN=03, G_MIN=01, B_MIN=06, A_MIN=04
Recieved: R_MIN=03, G_MIN=01, B_MIN=06, A_MIN=04

Expected: R_MIN=14, G_MIN=02, B_MIN=06, A_MIN=02
Recieved: R_MIN=14, G_MIN=02, B_MIN=06, A_MIN=02

Expected: R_MIN=08, G_MIN=05, B_MIN=02, A_MIN=01
Recieved: R_MIN=08, G_MIN=05, B_MIN=02, A_MIN=01

Expected: R_MIN=01, G_MIN=20, B_MIN=0a, A_MIN=06
Recieved: R_MIN=01, G_MIN=20, B_MIN=0a, A_MIN=06

Expected: R_MIN=01, G_MIN=04, B_MIN=0a, A_MIN=03
Recieved: R_MIN=01, G_MIN=04, B_MIN=0a, A_MIN=03

Expected: R_MIN=19, G_MIN=00, B_MIN=05, A_MIN=0b
Recieved: R_MIN=19, G_MIN=00, B_MIN=05, A_MIN=0b

Expected: R_MIN=00, G_MIN=17, B_MIN=15, A_MIN=0d
Recieved: R_MIN=00, G_MIN=17, B_MIN=15, A_MIN=0d

Expected: R_MIN=04, G_MIN=03, B_MIN=02, A_MIN=06
Recieved: R_MIN=04, G_MIN=03, B_MIN=02, A_MIN=06

Expected: R_MIN=00, G_MIN=07, B_MIN=1e, A_MIN=02
Recieved: R_MIN=00, G_MIN=07, B_MIN=1e, A_MIN=02

Expected: R_MIN=05, G_MIN=02, B_MIN=1a, A_MIN=10
Recieved: R_MIN=05, G_MIN=02, B_MIN=1a, A_MIN=10

