Algorithm,Pattern,Cache Size,Bytes Sent,Total Bytes,Compression Ratio,Hits,Misses,Image
Mali,periodic,16,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,64,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,128,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,256,185437,851968,4.59437976239909,4523,8789,1.1.13
Mali,periodic,0,280794,851968,3.0341389061019823,0,13312,1.1.13
Mali,strided,128,343417,3196928,9.309172230844716,33696,16256,1.1.13
Mali,strided,256,343417,3196928,9.309172230844716,33696,16256,1.1.13
Mali,strided,1,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,strided,4,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,strided,8,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,strided,16,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,strided,32,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,strided,64,598652,3196928,5.340211007396618,21631,28321,1.1.13
Mali,blurred,256,571002,3200000,5.60418352299992,23085,26915,1.1.13
Mali,blurred,128,798376,3200000,4.008136517129773,12358,37642,1.1.13
Mali,blurred,64,925537,3200000,3.457452268250756,6368,43632,1.1.13
Mali,random,0,1057560,3200000,3.025833049661485,0,50000,1.1.13
Mali,blurred,32,991212,3200000,3.228370923677276,3276,46724,1.1.13
Mali,random,1,1057356,3200000,3.0264168359568586,5,49995,1.1.13
Mali,strided,0,1056056,3196928,3.0272334042891664,0,49952,1.1.13
Mali,random,4,1057341,3200000,3.026459770310619,7,49993,1.1.13
Mali,blurred,16,1026934,3200000,3.1160717241809115,1616,48384,1.1.13
Mali,random,8,1056754,3200000,3.0281408918253443,26,49974,1.1.13
Mali,random,16,1056163,3200000,3.0298353568530616,54,49946,1.1.13
Mali,blurred,0,1061270,3200000,3.015255307320474,0,50000,1.1.13
Mali,blurred,8,1043452,3200000,3.066743846386801,788,49212,1.1.13
Mali,skew,0,1059392,3200000,3.0206004953784813,0,50000,1.1.13
Mali,blurred,4,1051408,3200000,3.0435378083484244,409,49591,1.1.13
Mali,blurred,1,1058075,3200000,3.024360276917988,97,49903,1.1.13
Mali,skew,8,1057803,3200000,3.0251379510173444,71,49929,1.1.13
Mali,random,32,1055561,3200000,3.0315633108839752,93,49907,1.1.13
Mali,skew,1,1059079,3200000,3.021493203056618,10,49990,1.1.13
Mali,skew,4,1058314,3200000,3.0236772829235936,41,49959,1.1.13
Mali,random,64,1052996,3200000,3.038947916231401,200,49800,1.1.13
Mali,skew,32,1052969,3200000,3.0390258402669024,284,49716,1.1.13
Mali,skew,16,1056713,3200000,3.028258382361152,124,49876,1.1.13
Mali,skew,64,1046896,3200000,3.0566551023215296,571,49429,1.1.13
Mali,random,128,1049601,3200000,3.048777583100626,371,49629,1.1.13
Mali,skew,128,1034914,3200000,3.0920443631064995,1153,48847,1.1.13
Mali,random,256,1040192,3200000,3.0763551344367195,815,49185,1.1.13
Mali,skew,256,1011636,3200000,3.1631930852599157,2212,47788,1.1.13
Uncompressed,periodic,0,1703936,1703936,1.0,0,13312,gray21.512
Uncompressed,periodic,1,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,periodic,4,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,random,0,6400000,6400000,1.0,0,50000,gray21.512
Uncompressed,strided,0,6393856,6393856,1.0,0,49952,gray21.512
Uncompressed,periodic,8,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,periodic,16,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,periodic,32,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,strided,1,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,blurred,0,6400000,6400000,1.0,0,50000,gray21.512
Uncompressed,strided,4,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,periodic,64,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,skew,0,6400000,6400000,1.0,0,50000,gray21.512
Uncompressed,random,1,6399616,6400000,1.000060003600216,3,49997,gray21.512
Uncompressed,strided,8,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,random,4,6398592,6400000,1.0002200484106505,11,49989,gray21.512
Uncompressed,blurred,1,6385280,6400000,1.0023053021950483,115,49885,gray21.512
Uncompressed,strided,16,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,skew,1,6399360,6400000,1.000100010001,5,49995,gray21.512
Uncompressed,blurred,4,6347904,6400000,1.0082068033795093,407,49593,gray21.512
Uncompressed,random,8,6397312,6400000,1.0004201764741192,21,49979,gray21.512
Uncompressed,periodic,128,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,skew,4,6396672,6400000,1.000520270540681,26,49974,gray21.512
Uncompressed,blurred,8,6299648,6400000,1.01592977893368,784,49216,gray21.512
Uncompressed,strided,32,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,random,16,6393472,6400000,1.0010210414622915,51,49949,gray21.512
Uncompressed,skew,8,6389888,6400000,1.001582500350554,79,49921,gray21.512
Uncompressed,blurred,16,6185600,6400000,1.0346611484738748,1675,48325,gray21.512
Uncompressed,skew,16,6381056,6400000,1.0029687876113296,148,49852,gray21.512
Uncompressed,periodic,256,1124992,1703936,1.5146205484127888,4523,8789,gray21.512
Uncompressed,blurred,32,5995392,6400000,1.067486496295822,3161,46839,gray21.512
Uncompressed,random,32,6387072,6400000,1.0020240886590914,101,49899,gray21.512
Uncompressed,strided,64,3625088,6393856,1.763779527559055,21631,28321,gray21.512
Uncompressed,skew,32,6365312,6400000,1.0054495364877636,271,49729,gray21.512
Uncompressed,strided,128,2080768,6393856,3.072834645669291,33696,16256,gray21.512
Uncompressed,blurred,64,5587584,6400000,1.145396650860193,6347,43653,gray21.512
Uncompressed,random,64,6373120,6400000,1.004217714400482,210,49790,gray21.512
Uncompressed,skew,64,6330496,6400000,1.0109792344865236,543,49457,gray21.512
Uncompressed,strided,256,2080768,6393856,3.072834645669291,33696,16256,gray21.512
Uncompressed,blurred,128,4815104,6400000,1.3291509383805624,12382,37618,gray21.512
Uncompressed,random,128,6349312,6400000,1.0079832271591,396,49604,gray21.512
Uncompressed,skew,128,6250112,6400000,1.0239816502488277,1171,48829,gray21.512
Intel_8gen,periodic,0,874688,1703936,1.9480500475598157,0,13312,gray21.512
Intel_8gen,periodic,1,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,periodic,4,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,random,0,3284416,6400000,1.9485960365556616,0,50000,gray21.512
Intel_8gen,periodic,8,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,periodic,16,577536,1703936,2.950354609929078,4523,8789,gray21.512
Uncompressed,blurred,256,3431552,6400000,1.8650453206012907,23191,26809,gray21.512
Intel_8gen,random,1,3288256,6400000,1.9463204811304229,4,49996,gray21.512
Intel_8gen,periodic,32,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,strided,0,3282880,6393856,1.9476362218539816,0,49952,gray21.512
Intel_8gen,random,4,3284992,6400000,1.9482543640897756,13,49987,gray21.512
Intel_8gen,strided,1,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,periodic,64,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,strided,8,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,random,8,3281408,6400000,1.9503822749258857,30,49970,gray21.512
Intel_8gen,strided,4,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,periodic,128,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_8gen,blurred,0,3203456,6400000,1.997842330283294,0,50000,gray21.512
Intel_8gen,strided,16,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,skew,0,3265856,6400000,1.959669991573419,0,50000,gray21.512
Intel_8gen,random,16,3286592,6400000,1.94730590228419,54,49946,gray21.512
Intel_8gen,blurred,1,3197376,6400000,2.001641345903641,97,49903,gray21.512
Intel_8gen,blurred,4,3175552,6400000,2.0153976379539684,417,49583,gray21.512
Intel_8gen,strided,32,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,skew,1,3264128,6400000,1.9607074232383044,9,49991,gray21.512
Intel_11gen,random,0,3228928,6400000,1.9820819789106476,0,50000,gray21.512
Intel_8gen,skew,4,3261760,6400000,1.9621308741293044,46,49954,gray21.512
Intel_8gen,blurred,8,3149120,6400000,2.03231378924906,856,49144,gray21.512
Intel_8gen,skew,8,3261184,6400000,1.9624774315095377,69,49931,gray21.512
Intel_8gen,random,32,3280576,6400000,1.9508769191751691,103,49897,gray21.512
Intel_8gen,blurred,16,3098880,6400000,2.0652622883106155,1622,48378,gray21.512
Intel_8gen,periodic,256,577536,1703936,2.950354609929078,4523,8789,gray21.512
Intel_11gen,random,1,3229184,6400000,1.981924845409862,2,49998,gray21.512
Intel_11gen,random,4,3229568,6400000,1.9816891918671475,14,49986,gray21.512
Intel_11gen,periodic,0,859840,1703936,1.9816896166728697,0,13312,gray21.512
Intel_8gen,skew,16,3252672,6400000,1.9676130885622651,159,49841,gray21.512
Intel_8gen,strided,64,1861696,6393856,3.434425384165836,21631,28321,gray21.512
Intel_8gen,strided,128,1068544,6393856,5.983708672735984,33696,16256,gray21.512
Intel_11gen,random,8,3226624,6400000,1.9834973024436688,21,49979,gray21.512
Intel_11gen,periodic,1,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_8gen,blurred,32,2998656,6400000,2.1342894950271054,3185,46815,gray21.512
Intel_8gen,skew,32,3245568,6400000,1.9719198611768416,285,49715,gray21.512
Intel_11gen,periodic,4,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_11gen,random,16,3227712,6400000,1.9828287034283107,62,49938,gray21.512
Intel_8gen,random,64,3274368,6400000,1.9545756616238616,189,49811,gray21.512
Intel_11gen,random,32,3223296,6400000,1.985545230720356,91,49909,gray21.512
Intel_11gen,periodic,8,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_8gen,blurred,64,2792512,6400000,2.291843329589989,6424,43576,gray21.512
Intel_11gen,skew,32,3200832,6400000,1.9994801351648572,305,49695,gray21.512
Intel_8gen,skew,64,3220800,6400000,1.987083954297069,630,49370,gray21.512
Intel_11gen,periodic,16,567616,1703936,3.001916788814974,4523,8789,gray21.512
Uncompressed,skew,256,6111616,6400000,1.047186210651978,2253,47747,gray21.512
Intel_8gen,strided,256,1068544,6393856,5.983708672735984,33696,16256,gray21.512
Uncompressed,random,256,6294912,6400000,1.0166941174078368,821,49179,gray21.512
Intel_11gen,random,64,3217216,6400000,1.9892975790248464,199,49801,gray21.512
Intel_11gen,periodic,32,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_8gen,blurred,128,2418624,6400000,2.6461326770924294,12279,37721,gray21.512
Intel_8gen,random,128,3266880,6400000,1.9590557351356648,426,49574,gray21.512
Intel_11gen,periodic,64,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_11gen,strided,0,3226304,6393856,1.981789688758406,0,49952,gray21.512
Intel_11gen,strided,1,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_11gen,strided,4,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_11gen,strided,8,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_11gen,periodic,128,567616,1703936,3.001916788814974,4523,8789,gray21.512
Intel_11gen,strided,16,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_11gen,blurred,0,3200000,6400000,2.0,0,50000,gray21.512
Intel_8gen,skew,128,3185472,6400000,2.009121411206879,1186,48814,gray21.512
Intel_11gen,blurred,1,3193600,6400000,2.004008016032064,101,49899,gray21.512
Intel_11gen,strided,32,1829440,6393856,3.4949798845548363,21631,28321,gray21.512
Intel_8gen,blurred,256,1724672,6400000,3.7108505269407743,23106,26894,gray21.512
Intel_11gen,skew,0,3220032,6400000,1.987557887623477,0,50000,gray21.512
Intel_11gen,random,128,3207040,6400000,1.9956096587507484,396,49604,gray21.512
Intel_11gen,blurred,4,3172800,6400000,2.017145738779627,425,49575,gray21.512
